Address,City,NumberOfBaths,NumberOfBeds,Price,SqFt,ZipCode
"7032 Greenview Cir N, Fort Worth, TX 76120",Fort Worth,2,3,185000,1480,76120
"3533 Cripple Creek Trl, Fort Worth, TX 76262",Fort Worth,2,3,225000,1349,76262
"4516 Collinwood Ave, Fort Worth, TX 76107",Fort Worth,2,3,369900,1440,76107
"4612 Saldana Dr, Fort Worth, TX 76133",Fort Worth,2,3,299900,2022,76133
"2212 N Chandler Dr, Fort Worth, TX 76111",Fort Worth,1,3,230000,1034,76111
"6341 Glenwick Dr, Fort Worth, TX 76123",Fort Worth,2.5,5,325000,2732,76123
"6908 Culver Ave, Fort Worth, TX 76116",Fort Worth,2,3,298900,1994,76116
"10520 Flagstaff Run, Fort Worth, TX 76140",Fort Worth,2.5,4,224999,1678,76140
"16 Harbour Point Cir, Fort Worth, TX 76179",Fort Worth,3.5,4,515000,3468,76179
"1235 E Cannon, Fort Worth, TX 76104",Fort Worth,2,2,129000,1000,76104
"1556 Velda Kay Ln, Fort Worth, TX 76052",Fort Worth,2,2,110000,1000,76052
"3441 Timber Brook Dr, Plano, TX 75074",Plano,2,4,400000,2220,75074
"6321 Hermosa Dr, Plano, TX 75024",Plano,2.5,3,410000,1977,75024
"4700 Ridgedale Dr, Plano, TX 75024",Plano,2,2,299000,1513,75024
"4236 Winding Brook Dr, Plano, TX 75093",Plano,2.5,3,344900,1636,75093
"2708 Westridge Dr, Plano, TX 75075",Plano,3,4,370000,2453,75075
"1349 Heidi Dr, Plano, TX 75025",Plano,2,3,315000,1745,75025
"4024 Camino Dr, Plano, TX 75074",Plano,2,3,375000,2078,75074
"7145 Rembrandt Dr, Plano, TX 75093",Plano,2,2,339900,1804,75093
"7020 Pensacola Dr, Plano, TX 75074",Plano,2.5,4,425000,2976,75074
"2304 La Vida Pl, Plano, TX 75023",Plano,3,4,429990,2696,75023
"3905 Ridge Rock Dr, Plano, TX 75074",Plano,2.5,4,419000,2873,75074
"5948 Pebblestone Ln, Plano, TX 75093",Plano,3,4,549000,3384,75093
"4117 Burnhill Dr, Plano, TX 75024",Plano,2,3,350000,1729,75024
"3429 Timber Brook Dr, Plano, TX 75074",Plano,2,3,340000,2120,75074
"3201 Bloomfield Ct, Plano, TX 75093",Plano,2.5,3,425900,2073,75093
"2701 Rockefeller Way, Plano, TX 75093",Plano,4.5,5,739900,3411,75093
"6821 Saddletree Trl, Plano, TX 75023",Plano,2.5,3,370000,1855,75023
"9740 Ellery Ave, Plano, TX 75025",Plano,3,4,459000,2601,75025
"3104 Cross Bend Rd, Plano, TX 75023",Plano,2,4,277000,2010,75023
"3252 Parma Ln, Plano, TX 75093",Plano,1.5,2,272900,1418,75093
"3520 Caleche Ct, Plano, TX 75023",Plano,3,4,495000,3033,75023
"3729 Southport Dr, Plano, TX 75025",Plano,3.5,4,550000,3117,75025
"1429 Ridgecrest Dr, Plano, TX 75074",Plano,2,3,250000,1272,75074
"2821 Biscayne Dr, Plano, TX 75075",Plano,3,4,410000,2744,75075
"2201 Compton Dr, Plano, TX 75025",Plano,3,3,429000,2414,75025
